N,p,q,type,rad_odd_p,rad_odd_q,conductor_proxy,rho
1024,3,1021,Goldbach,3,1021,9381969,2.316146
1024,4,1020,Composite,1,255,65025,1.598871
1024,5,1019,Goldbach,5,1019,25959025,2.462973
1024,6,1018,Composite,3,509,2331729,2.115297
1024,7,1017,Mixed,7,339,5631129,2.242499
1024,8,1016,Composite,1,127,16129,1.397737
1024,9,1015,Composite,3,1015,9272025,2.314445
1024,10,1014,Composite,5,39,38025,1.521466
1024,11,1013,Goldbach,11,1013,124166449,2.68877
1024,12,1012,Composite,3,253,576081,1.913591
1024,13,1011,Mixed,13,1011,172738449,2.736401
1024,14,1010,Composite,7,505,12496225,2.357499
1024,15,1009,Mixed,15,1009,229068225,2.77712
1024,16,1008,Composite,1,21,441,0.878463
1024,17,1007,Mixed,17,1007,293060161,2.812662
1024,18,1006,Composite,3,503,2277081,2.111875
1024,19,1005,Mixed,19,1005,364619025,2.844181
1024,20,1004,Composite,5,251,1575025,2.058694
1024,21,1003,Composite,21,1003,443649969,2.872485
1024,22,1002,Composite,11,501,30371121,2.48562
1024,23,1001,Mixed,23,1001,530058529,2.898158
1024,24,1000,Composite,3,5,225,0.781378
1024,25,999,Composite,5,111,308025,1.823269
1024,26,998,Composite,13,499,42081169,2.532667
1024,27,997,Mixed,3,997,8946081,2.309282
1024,28,996,Composite,7,249,3038049,2.153471
1024,29,995,Mixed,29,995,832611025,2.963307
1024,30,994,Composite,15,497,55577025,2.572799
1024,31,993,Mixed,31,993,947593089,2.981969
1024,32,992,Composite,1,31,961,0.990839
1024,33,991,Mixed,33,991,1069486209,2.999427
1024,34,990,Composite,17,165,7868025,2.290757
1024,35,989,Composite,35,989,1198198225,3.015822
1024,36,988,Composite,3,247,549081,1.906666
1024,37,987,Mixed,37,987,1333637361,3.031272
1024,38,986,Composite,19,493,87740689,2.638674
1024,39,985,Composite,39,985,1475712225,3.045876
1024,40,984,Composite,5,123,378225,1.852889
1024,41,983,Goldbach,41,983,1624331809,3.05972
1024,42,982,Composite,21,491,106316721,2.666379
1024,43,981,Mixed,43,327,197711721,2.755882
1024,44,980,Composite,11,35,148225,1.717743
1024,45,979,Composite,15,979,215649225,2.768411
1024,46,978,Composite,23,489,126495009,2.691451
1024,47,977,Goldbach,47,977,2108554561,3.097361
1024,48,976,Composite,3,61,33489,1.50314
1024,49,975,Composite,7,195,1863225,2.082937
1024,50,974,Composite,5,487,5929225,2.249941
1024,51,973,Composite,51,973,2462442129,3.119744
1024,52,972,Composite,13,3,1521,1.05708
1024,53,971,Goldbach,53,971,2648440369,3.13025
1024,54,970,Composite,3,485,2117025,2.101361
